timestamp,received,missing,goodput
1.0034687519073486,0,0,0
2.0046679973602295,0,0,0
3.0095949172973633,0,0,0
4.0127880573272705,94060,940,0.9901052631578947
5.014264822006226,398950,4050,0.9899503722084367
6.019572973251343,716662,6838,0.9905487214927436
7.024863958358765,1040335,10165,0.9903236554021895
8.029127836227417,1355117,12883,0.9905826023391813
9.032628059387207,1659042,15958,0.9904728358208955
10.036918878555298,1970399,18601,0.9906480643539467
11.038802862167358,2277813,21687,0.9905688193085453
12.042961835861206,2593011,24489,0.9906441260744986
13.045521974563599,2898509,27491,0.9906045796308954
14.047180891036987,3213344,30156,0.9907026360413134
15.048106908798218,3518843,33157,0.990665259009009
16.053337812423706,3831682,35818,0.990738720103426
17.055179119110107,4135642,38858,0.9906915798299197
18.057610034942627,4448988,41512,0.9907555951453068
19.062232732772827,4760274,44726,0.990691779396462
20.064687967300415,5077040,47460,0.9907386086447458
21.070056915283203,5383462,50538,0.9906996687523003
22.071594953536987,5696764,53236,0.9907415652173913
23.074018716812134,6004598,56402,0.9906942748721334
24.07640290260315,6313891,59109,0.9907250902243842
25.079288721084595,6618331,62169,0.9906939600329316
26.08413600921631,6929696,64804,0.9907350060762027
27.087296962738037,7235658,67842,0.9907110289587184
28.092787981033325,7544437,70563,0.9907336835193696
29.09705400466919,7850476,73524,0.990721352852095
30.099688053131104,8161336,76164,0.9907539908952959
31.10308003425598,8471201,79299,0.9907258055084498
32.10857605934143,8781141,81859,0.9907639625409004
33.111809730529785,9085164,84836,0.9907485278080698
34.11476683616638,9393510,87490,0.9907720704567029
35.119730949401855,9698360,90640,0.9907406272346512
