Checkpoint,Time (s),Packets Received,Missing Packets,Goodput (%),Packet Rate (pkts/s)
2020,10.54,2020000,12196,99.4,194838.74
2021,10.55,2021001,12203,99.4,194943.51
2022,10.55,2022000,12208,99.4,184148.27
2023,10.56,2023001,12211,99.4,194898.26
2024,10.56,2024001,12215,99.4,201571.7
2025,10.57,2025001,12223,99.4,188076.95
2026,10.57,2026001,12231,99.4,185695.49
2027,10.58,2027002,12238,99.4,200769.81
2028,10.58,2028001,12243,99.4,192259.78
2029,10.59,2029002,12254,99.4,184622.41
2030,10.59,2030001,12259,99.4,197702.64
2031,10.6,2031002,12266,99.4,197986.34
2032,10.6,2032001,12275,99.4,181539.35
2033,10.61,2033002,12274,99.4,199235.91
2034,10.61,2034003,12281,99.4,197047.84
2035,10.62,2035003,12289,99.4,180672.15
2036,10.63,2036003,12289,99.4,197928.55
2037,10.63,2037000,12296,99.4,196500.22
2038,10.64,2038003,12305,99.4,185636.17
2039,10.64,2039001,12311,99.4,196457.29
2040,10.65,2040001,12319,99.4,194216.71
2041,10.65,2041003,12325,99.4,192952.23
2042,10.66,2042001,12335,99.4,181554.28
2043,10.66,2043000,12344,99.4,197777.29
2044,10.67,2044000,12344,99.4,195265.55
2045,10.67,2045000,12348,99.4,180578.81
2046,10.68,2046001,12355,99.4,198135.83
2047,10.68,2047000,12364,99.4,194662.47
2048,10.69,2048003,12369,99.4,182630.21
2049,10.69,2049001,12371,99.4,191522.48
2050,10.7,2050003,12373,99.4,191100.97
2051,10.7,2051001,12379,99.4,183633.05
2052,10.71,2052001,12383,99.4,194966.02
2053,10.71,2053001,12387,99.4,200320.18
2054,10.72,2054002,12394,99.4,185823.59
2055,10.72,2055003,12397,99.4,194365.92
2056,10.73,2056000,12400,99.4,199642.94
2057,10.73,2057001,12411,99.4,190339.03
2058,10.74,2058003,12417,99.4,185034.68
2059,10.75,2059002,12426,99.4,200091.19
2060,10.75,2060003,12441,99.4,197743.89
2061,10.76,2061002,12446,99.4,178203.96
2062,10.76,2062001,12455,99.4,194925.09
2063,10.77,2063000,12456,99.4,197274.47
2064,10.77,2064003,12461,99.4,186640.95
2065,10.78,2065001,12463,99.4,193711.67
2066,10.78,2066003,12465,99.4,194902.96
2067,10.79,2067000,12468,99.4,185730.45
2068,10.79,2068001,12471,99.4,200520.5
2069,10.8,2069000,12476,99.4,201816.28
2070,10.8,2070000,12480,99.4,190910.51
2071,10.81,2071003,12485,99.4,188143.42
2072,10.81,2072002,12494,99.4,201534.78
2073,10.82,2073003,12505,99.4,192574.0
2074,10.82,2074000,12512,99.4,181246.58
2075,10.83,2075001,12515,99.4,200549.24
2076,10.83,2076003,12525,99.4,193032.0
2077,10.84,2077001,12531,99.4,181349.77
2078,10.84,2078003,12533,99.4,200328.55
2079,10.85,2079003,12541,99.4,193794.95
2080,10.85,2080002,12546,99.4,180064.88
2081,10.86,2081000,12552,99.4,198441.04
2082,10.86,2082003,12557,99.4,200604.97
2083,10.87,2083001,12563,99.4,180637.61
2084,10.88,2084003,12569,99.4,195237.97
2085,10.88,2085002,12574,99.4,193163.83
2086,10.89,2086003,12577,99.4,185396.9
2087,10.89,2087000,12584,99.4,190450.48
2088,10.9,2088003,12593,99.4,201537.17
2089,10.9,2089003,12597,99.4,193947.29
2090,10.91,2090002,12602,99.4,183535.25
2091,10.91,2091000,12608,99.4,193747.53
2092,10.92,2092000,12612,99.4,197900.54
2093,10.92,2093003,12621,99.4,184415.52
2094,10.93,2094000,12632,99.4,197932.55
2095,10.93,2095003,12633,99.4,195514.57
2096,10.94,2096003,12641,99.4,182012.84
2097,10.94,2097002,12650,99.4,196931.41
2098,10.95,2098002,12658,99.4,195383.8
2099,10.95,2099003,12665,99.4,185996.47
2100,10.96,2100000,12672,99.4,192572.93
2101,10.96,2101003,12677,99.4,201257.57
2102,10.97,2102003,12677,99.4,189171.21
2103,10.97,2103002,12678,99.4,192781.67
2104,10.98,2104001,12683,99.4,199443.56
2105,10.98,2105003,12693,99.4,185590.31
2106,10.99,2106000,12696,99.4,183312.34
2107,11.0,2107002,12698,99.4,198962.87
2108,11.0,2108001,12703,99.4,192445.22
2109,11.01,2109001,12707,99.4,180633.25
2110,11.01,2110002,12710,99.4,199643.29
2111,11.02,2111003,12713,99.4,199719.26
2112,11.02,2112002,12718,99.4,183470.96
2113,11.03,2113001,12731,99.4,196737.24
2114,11.03,2114003,12737,99.4,199595.96
2115,11.04,2115003,12745,99.4,184227.35
2116,11.04,2116001,12751,99.4,195658.38
2117,11.05,2117001,12763,99.4,195002.28
2118,11.05,2118000,12768,99.4,181531.48
2119,11.06,2119000,12772,99.4,191067.06
2120,11.06,2120002,12778,99.4,201761.53
2121,11.07,2121001,12787,99.4,192977.0
2122,11.07,2122002,12790,99.4,187449.7
2123,11.08,2123003,12793,99.4,196430.16
2124,11.08,2124001,12799,99.4,192997.16
2125,11.09,2125001,12811,99.4,185909.49
2126,11.09,2126000,12820,99.4,194934.16
2127,11.1,2127001,12827,99.4,194132.26
2128,11.11,2128002,12834,99.4,178053.36
2129,11.11,2129002,12846,99.4,196703.28
2130,11.12,2130003,12849,99.4,193979.78
2131,11.12,2131000,12848,99.4,185318.9
2132,11.13,2132000,12852,99.4,198143.61
2133,11.13,2133000,12856,99.4,198481.17
2134,11.14,2134003,12857,99.4,185407.09
2135,11.14,2135002,12862,99.4,197079.62
2136,11.15,2136001,12867,99.4,199159.17
2137,11.15,2137002,12874,99.4,190054.7
2138,11.16,2138003,12877,99.4,182464.07
2139,11.16,2139000,12884,99.4,194761.36
2140,11.17,2140002,12894,99.4,191518.99
2141,11.17,2141000,12896,99.4,187843.99
2142,11.18,2142000,12900,99.4,201853.02
2143,11.18,2143001,12907,99.4,190339.03
2144,11.19,2144000,12912,99.4,184415.73
2145,11.19,2145002,12918,99.4,201047.29
2146,11.2,2146001,12923,99.4,196608.0
2147,11.2,2147000,12928,99.4,182265.85
2148,11.21,2148000,12932,99.4,199084.11
2149,11.21,2149001,12943,99.4,194410.92
2150,11.22,2150000,12948,99.4,183503.1
2151,11.22,2151003,12957,99.4,192623.03
2152,11.23,2152003,12965,99.4,196814.04
2153,11.23,2153001,12971,99.4,190242.94
2154,11.24,2154000,12976,99.4,186725.03
2155,11.25,2155003,12981,99.4,196666.21
2156,11.25,2156003,12985,99.4,194830.17
2157,11.26,2157002,12994,99.4,187880.45
2158,11.26,2158002,12998,99.4,196887.95
2159,11.27,2159005,12999,99.4,188185.5
2160,11.27,2160003,13001,99.4,188021.17
2161,11.28,2161002,13002,99.4,197609.4
2162,11.28,2162000,13004,99.4,197039.89
2163,11.29,2163002,13010,99.4,180280.23
2164,11.29,2164001,13015,99.4,195781.22
2165,11.3,2165000,13020,99.4,194004.52
2166,11.3,2166001,13027,99.4,187391.13
2167,11.31,2167001,13031,99.4,194929.78
2168,11.31,2168002,13038,99.4,195424.42
2169,11.32,2169000,13044,99.4,190797.91
2170,11.32,2170000,13052,99.4,191748.38
2171,11.33,2171003,13057,99.4,197915.27
2172,11.33,2172003,13065,99.4,192629.01
2173,11.34,2173003,13073,99.4,188228.87
2174,11.34,2174001,13083,99.4,197700.63
2175,11.35,2175001,13091,99.4,194622.24
2176,11.35,2176001,13095,99.4,179305.06
2177,11.36,2177003,13105,99.4,195219.84
2178,11.37,2178003,13109,99.4,196730.96
2179,11.37,2179000,13116,99.4,186633.99
2180,11.38,2180003,13125,99.4,195596.38
2181,11.38,2181000,13132,99.4,194191.56
2182,11.39,2182001,13135,99.4,188442.47
2183,11.39,2183000,13140,99.4,192180.42
2184,11.4,2184002,13142,99.4,197913.47
2185,11.4,2185002,13146,99.4,191389.64
2186,11.41,2186002,13154,99.4,187605.85
2187,11.41,2187000,13160,99.4,192597.56
2188,11.42,2188000,13160,99.4,194216.71
2189,11.42,2189003,13173,99.4,183362.55
2190,11.43,2190003,13177,99.4,199443.84
2191,11.43,2191002,13182,99.4,191521.61
2192,11.44,2192001,13191,99.4,183094.15
2193,11.44,2193003,13197,99.4,196746.06
2194,11.45,2194002,13202,99.4,194049.45
2195,11.45,2195001,13207,99.4,180725.02
2196,11.46,2196002,13214,99.4,198924.4
2197,11.46,2197000,13220,99.4,192367.44
2198,11.47,2198001,13223,99.4,187592.08
2199,11.47,2199001,13227,99.4,197239.78
2200,11.48,2200002,13238,99.4,195160.99
2201,11.48,2201001,13243,99.4,194175.34
2202,11.49,2202001,13247,99.4,190364.63
2203,11.5,2203000,13252,99.4,193493.87
2204,11.5,2204000,13260,99.4,191871.18
2205,11.51,2205001,13263,99.4,185848.27
2206,11.51,2206001,13275,99.4,195002.28
2207,11.52,2207002,13286,99.4,195278.99
2208,11.52,2208003,13293,99.4,183036.81
2209,11.53,2209003,13305,99.4,195192.85
2210,11.53,2210000,13308,99.4,197502.53
2211,11.54,2211002,13310,99.4,182258.23
2212,11.54,2212002,13314,99.4,192452.23
2213,11.55,2213003,13317,99.4,193274.33
2214,11.55,2214003,13329,99.4,184673.48
2215,11.56,2215002,13334,99.4,192489.42
2216,11.56,2216002,13338,99.4,196730.96
2217,11.57,2217001,13347,99.4,190754.33
2218,11.57,2218003,13353,99.4,187855.02
2219,11.58,2219003,13357,99.4,198415.44
2220,11.58,2220001,13363,99.4,191548.78
2221,11.59,2221002,13366,99.4,179461.35
2222,11.59,2222000,13372,99.4,196956.45
2223,11.6,2223002,13378,99.4,188419.31
2224,11.61,2224003,13385,99.4,185716.74
2225,11.61,2225003,13397,99.4,191084.46
2226,11.62,2226001,13399,99.4,198102.95
2227,11.62,2227003,13405,99.4,187503.02
2228,11.63,2228003,13413,99.4,194929.78
2229,11.63,2229001,13415,99.4,200034.19
2230,11.64,2230003,13417,99.4,189276.37
2231,11.64,2231001,13419,99.4,193783.41
2232,11.65,2232000,13432,99.4,188777.69
2233,11.65,2233003,13441,99.4,188632.72
2234,11.66,2234000,13448,99.4,190815.47
2235,11.66,2235001,13451,99.4,200319.59
2236,11.67,2236002,13454,99.4,194708.45
2237,11.67,2237001,13463,99.4,185690.66
2238,11.68,2238000,13472,99.4,195461.57
2239,11.68,2239000,13480,99.4,197276.89
2240,11.69,2240001,13483,99.4,185782.48
2241,11.69,2241001,13491,99.4,195502.19
2242,11.7,2242000,13496,99.4,198292.07
2243,11.7,2243002,13502,99.4,187922.22
2244,11.71,2244003,13509,99.4,192203.73
2245,11.71,2245000,13516,99.4,199719.22
2246,11.72,2246000,13520,99.4,183791.42
2247,11.73,2247002,13530,99.4,193476.32
2248,11.73,2248001,13535,99.4,200081.64
2249,11.74,2249000,13540,99.4,188667.19
2250,11.74,2250000,13548,99.4,181855.01
2251,11.75,2251001,13555,99.4,198135.83
2252,11.75,2252001,13559,99.4,196224.75
2253,11.76,2253003,13569,99.4,180675.49
2254,11.76,2254000,13576,99.4,195526.31
2255,11.77,2255001,13583,99.4,195706.82
2256,11.77,2256003,13589,99.4,181549.64
2257,11.78,2257003,13597,99.4,194703.56
2258,11.78,2258001,13599,99.4,200034.19
2259,11.79,2259000,13604,99.4,186111.3
2260,11.79,2260003,13609,99.4,193171.41
2261,11.8,2261003,13617,99.4,199292.22
2262,11.8,2262002,13626,99.4,183672.02
2263,11.81,2263002,13638,99.4,186878.63
2264,11.81,2264002,13646,99.4,196114.65
2265,11.82,2265003,13649,99.4,190313.15
2266,11.82,2266003,13657,99.4,188711.6
2267,11.83,2267000,13668,99.4,194308.87
2268,11.83,2268000,13672,99.4,187547.13
2269,11.84,2269000,13680,99.4,181453.77
2270,11.85,2270003,13681,99.4,197016.2
2271,11.85,2271003,13689,99.4,192602.47
2272,11.86,2272000,13696,99.4,183272.17
2273,11.86,2273002,13706,99.4,192837.14
2274,11.87,2274003,13713,99.4,193621.95
2275,11.87,2275001,13719,99.4,184336.59
2276,11.88,2276000,13720,99.4,195270.28
2277,11.88,2277003,13721,99.4,196015.6
2278,11.89,2278002,13730,99.4,185888.37
2279,11.89,2279002,13738,99.4,197471.94
2280,11.9,2280002,13742,99.4,197434.76
2281,11.9,2281000,13752,99.4,184922.93
2282,11.91,2282003,13765,99.4,188886.8
2283,11.91,2283000,13776,99.4,197316.15
2284,11.92,2284001,13783,99.4,194437.93
2285,11.92,2285002,13790,99.4,186161.41
2286,11.93,2286000,13792,99.4,201420.24
2287,11.93,2287000,13796,99.4,194966.02
2288,11.94,2288000,13804,99.4,190079.94
2289,11.94,2289002,13810,99.4,196580.41
2290,11.95,2290001,13815,99.4,195881.9
2291,11.95,2291000,13820,99.4,186525.54
2292,11.96,2292003,13829,99.4,196896.33
2293,11.96,2293002,13830,99.4,199919.35
2294,11.97,2294001,13839,99.4,179871.63
2295,11.98,2295003,13841,99.4,197550.65
2296,11.98,2296002,13846,99.4,199045.64
2297,11.99,2297003,13849,99.4,184581.83
2298,11.99,2298000,13852,99.4,189940.09
2299,12.0,2299002,13858,99.4,200280.81
2300,12.0,2300003,13865,99.4,189762.64
2301,12.01,2301001,13871,99.4,186679.54
2302,12.01,2302000,13876,99.4,198894.47
2303,12.02,2303000,13884,99.4,191897.52
2304,12.02,2304002,13890,99.4,180636.66
2305,12.03,2305003,13901,99.4,195852.89
2306,12.03,2306003,13909,99.4,194360.7
2307,12.04,2307000,13912,99.4,187874.97
2308,12.04,2308000,13916,99.4,199027.43
2309,12.05,2309002,13926,99.4,198184.13
2310,12.05,2310001,13931,99.4,180134.55
2311,12.06,2311002,13934,99.4,193541.62
2312,12.06,2312002,13938,99.4,198603.34
2313,12.07,2313003,13949,99.4,188383.29
2314,12.07,2314000,13960,99.4,189183.91
2315,12.08,2315003,13969,99.4,195860.46
2316,12.09,2316000,13972,99.4,187925.63
2317,12.09,2317002,13974,99.4,187185.67
2318,12.1,2318003,13977,99.4,196319.94
2319,12.1,2319001,13983,99.4,192252.58
2320,12.11,2320001,13991,99.4,184917.73
2321,12.11,2321002,13994,99.4,193755.98
2322,12.12,2322002,13998,99.4,195156.52
2323,12.12,2323002,14002,99.4,176840.54
2324,12.13,2324001,14011,99.4,192817.16
2325,12.13,2325001,14015,99.4,194893.55
2326,12.14,2326002,14018,99.4,185274.18
2327,12.14,2327000,14020,99.4,193032.76
2328,12.15,2328003,14025,99.4,197589.92
2329,12.15,2329002,14038,99.4,179555.61
2330,12.16,2330003,14037,99.4,198173.24
2331,12.16,2331000,14044,99.4,197390.66
2332,12.17,2332001,14047,99.4,183436.66
2333,12.17,2333002,14054,99.4,189942.92
2334,12.18,2334001,14059,99.4,197302.34
2335,12.18,2335001,14067,99.4,192240.54
2336,12.19,2336000,14072,99.4,180912.3
2337,12.2,2337003,14077,99.4,193517.96
2338,12.2,2338000,14080,99.4,191690.17
2339,12.21,2339001,14083,99.4,175522.5
2340,12.21,2340002,14090,99.4,194519.01
2341,12.22,2341001,14091,99.4,193154.92
2342,12.22,2342003,14097,99.4,178291.73
2343,12.23,2343002,14102,99.4,199329.7
2344,12.23,2344001,14107,99.4,192959.23
2345,12.24,2345002,14118,99.4,178181.82
2346,12.24,2346003,14125,99.4,198689.05
2347,12.25,2347001,14131,99.4,191408.63
2348,12.25,2348001,14135,99.4,182551.53
2349,12.26,2349003,14141,99.4,194551.09
2350,12.26,2350003,14149,99.4,194522.96
2351,12.27,2351003,14149,99.4,180082.61
2352,12.27,2352001,14155,99.4,189450.8
2353,12.28,2353003,14161,99.4,196387.51
2354,12.29,2354002,14170,99.4,188455.06
2355,12.29,2355000,14180,99.4,186024.15
2356,12.3,2356001,14187,99.4,196384.22
2357,12.3,2357002,14194,99.4,190416.72
2358,12.31,2358001,14199,99.4,183398.68
2359,12.31,2359001,14203,99.4,193054.59
2360,12.32,2360002,14206,99.4,193309.93
2361,12.32,2361000,14208,99.4,177181.6
2362,12.33,2362003,14213,99.4,193065.03
2363,12.33,2363000,14224,99.4,194272.76
2364,12.34,2364001,14231,99.4,180650.5
2365,12.34,2365000,14240,99.4,191381.64
2366,12.35,2366001,14239,99.4,198604.46
2367,12.35,2367000,14244,99.4,185970.87
2368,12.36,2368001,14243,99.4,188577.9
2369,12.36,2369003,14245,99.4,195247.04
2370,12.37,2370001,14251,99.4,186687.87
2371,12.37,2371001,14259,99.4,191967.78
2372,12.38,2372002,14262,99.4,195351.68
2373,12.39,2373002,14274,99.4,186961.93
2374,12.39,2374000,14284,99.4,186048.95
2375,12.4,2375002,14294,99.4,194641.19
2376,12.4,2376003,14297,99.4,189147.11
2377,12.41,2377000,14300,99.4,186152.11
2378,12.41,2378000,14308,99.4,190615.52
2379,12.42,2379003,14309,99.4,190909.73
2380,12.42,2380000,14316,99.4,188680.28
2381,12.43,2381000,14324,99.4,192346.33
2382,12.43,2382001,14335,99.4,189659.77
2383,12.44,2383002,14338,99.4,185881.18
2384,12.44,2384002,14346,99.4,194703.56
2385,12.45,2385003,14357,99.4,193274.33
2386,12.45,2386000,14360,99.4,183715.01
2387,12.46,2387000,14368,99.4,194748.76
2388,12.46,2388003,14373,99.4,194862.52
2389,12.47,2389000,14380,99.4,185598.56
2390,12.47,2390000,14384,99.4,195538.65
2391,12.48,2391001,14391,99.4,192830.49
2392,12.49,2392001,14395,99.4,183157.38
2393,12.49,2393003,14397,99.4,195583.24
2394,12.5,2394000,14408,99.4,195755.13
2395,12.5,2395000,14420,99.4,192161.27
2396,12.51,2396003,14425,99.4,186087.8
2397,12.51,2397002,14426,99.4,197982.88
2398,12.52,2398002,14430,99.4,193196.87
2399,12.52,2399001,14435,99.4,187250.73
2400,12.53,2400003,14437,99.4,198062.71
2401,12.53,2401002,14442,99.4,191925.14
2402,12.54,2402001,14443,99.4,188497.44
2403,12.54,2403000,14448,99.4,196258.07
2404,12.55,2404000,14456,99.4,196823.28
2405,12.55,2405000,14460,99.4,182710.58
2406,12.56,2406002,14466,99.4,196939.67
2407,12.56,2407000,14476,99.4,193559.39
2408,12.57,2408000,14488,99.4,186986.94
2409,12.57,2409002,14498,99.4,189626.52
2410,12.58,2410000,14504,99.4,197188.4
2411,12.58,2411003,14505,99.4,189073.57
2412,12.59,2412002,14510,99.4,188667.19
2413,12.59,2413002,14514,99.4,197555.65
2414,12.6,2414000,14516,99.4,192553.26
2415,12.61,2415000,14524,99.4,184089.89
2416,12.61,2416001,14527,99.4,196780.01
2417,12.62,2417000,14540,99.4,188879.81
2418,12.62,2418002,14546,99.4,182876.84
2419,12.63,2419000,14552,99.4,165890.52
2420,12.63,2420001,14559,99.4,159064.15
2421,12.64,2421001,14567,99.4,144696.04
2422,12.65,2422001,14571,99.4,174073.63
2423,12.65,2423003,14573,99.4,162579.98
2424,12.66,2424003,14577,99.4,151424.38
2425,12.66,2425001,14583,99.4,166081.39
2426,12.67,2426003,14585,99.4,138492.47
2427,12.68,2427002,14598,99.4,190684.89
2428,12.68,2428002,14606,99.4,162230.37
2429,12.69,2429003,14609,99.4,146284.04
2430,12.7,2430002,14622,99.4,191784.59
2431,12.7,2431002,14626,99.4,191058.35
2432,12.71,2432001,14635,99.4,170711.33
2433,12.71,2433001,14643,99.4,186363.81
2434,12.72,2434000,14652,99.4,183262.32
2435,12.72,2435002,14662,99.4,173442.81
2436,12.73,2436000,14668,99.4,196153.49
2437,12.73,2437001,14679,99.4,185815.37
2438,12.74,2438001,14687,99.4,169754.9
2439,12.74,2439000,14692,99.4,212286.44
2440,12.75,2440003,14693,99.4,206787.6
2441,12.76,2441002,14702,99.4,157304.11
2442,12.76,2442000,14708,99.4,195484.77
2443,12.77,2443003,14713,99.4,193856.82
2444,12.77,2444000,14720,99.4,154147.78
2445,12.78,2445000,14728,99.4,191058.35
2446,12.78,2446000,14732,99.4,192381.62
2447,12.79,2447002,14738,99.4,152442.69
2448,12.79,2448000,14744,99.4,188156.4
2449,12.8,2449002,14750,99.4,260325.36
2450,12.8,2450002,14754,99.4,231652.71
2451,12.81,2451001,14759,99.4,235650.96
2452,12.81,2452000,14760,99.4,250829.67
2453,12.82,2453000,14764,99.4,188822.04
2454,12.82,2454001,14767,99.4,165288.7
2455,12.83,2455001,14771,99.4,196197.21
2456,12.83,2456002,14778,99.4,190814.81
2457,12.84,2457000,14784,99.4,166411.52
2458,12.84,2458002,14790,99.4,193627.86
2459,12.85,2459000,14792,99.4,191548.78
2460,12.85,2460003,14793,99.4,174523.41
2461,12.86,2461002,14798,99.4,192489.42
2462,12.86,2462003,14805,99.4,198689.05
2463,12.87,2463001,14811,99.4,174057.77
2464,12.88,2464001,14819,99.4,190399.2
2465,12.88,2465002,14834,99.4,192901.37
2466,12.89,2466002,14846,99.4,177371.51
2467,12.89,2467001,14851,99.4,191050.05
2468,12.9,2468000,14856,99.4,195152.05
2469,12.9,2469003,14865,99.4,186467.22
2470,12.91,2470003,14877,99.4,186330.7
2471,12.91,2471002,14882,99.4,194049.45
2472,12.92,2472003,14889,99.4,193283.23
2473,12.92,2473002,14898,99.4,191451.6
2474,12.93,2474002,14902,99.4,189933.61
2475,12.93,2475001,14907,99.4,191495.35
2476,12.94,2476000,14908,99.4,187284.21
2477,12.94,2477002,14918,99.4,193618.94
2478,12.95,2478003,14929,99.4,192432.78
2479,12.95,2479001,14935,99.4,183319.41
2480,12.96,2480001,14947,99.4,185942.46
2481,12.97,2481003,14961,99.4,186273.05
2482,12.97,2482001,14967,99.4,160971.98
2483,12.98,2483002,14974,99.4,167899.64
2484,12.98,2484002,14982,99.4,192452.23
2485,12.99,2485001,14987,99.4,169235.82
2486,13.0,2486001,14995,99.4,150988.3
2487,13.0,2487001,14999,99.4,154106.04
2488,13.01,2488002,15006,99.4,160775.76
2489,13.01,2489003,15009,99.4,191799.83
2490,13.02,2490003,15017,99.4,187087.02
2491,13.02,2491001,15023,99.4,183062.86
2492,13.03,2492003,15029,99.4,188377.08
2493,13.04,2493002,15030,99.4,176909.85
2494,13.04,2494002,15038,99.4,165123.58
2495,13.05,2495002,15046,99.4,199320.63
2496,13.05,2496002,15054,99.4,188822.04
2497,13.06,2497002,15054,99.4,179151.89
2498,13.06,2498003,15065,99.4,194320.94
2499,13.07,2499001,15071,99.4,196346.7
2500,13.07,2500001,15079,99.4,169549.03
2501,13.08,2501003,15081,99.4,195665.19
2502,13.08,2502003,15085,99.4,193196.87
2503,13.09,2503000,15092,99.4,172285.81
2504,13.09,2504000,15100,99.4,195995.51
2505,13.1,2505000,15108,99.4,196160.51
2506,13.11,2506001,15115,99.4,171907.56
2507,13.11,2507001,15115,99.4,195849.08
2508,13.12,2508000,15124,99.4,196414.46
2509,13.12,2509001,15131,99.4,173148.23
2510,13.13,2510003,15141,99.4,195747.21
2511,13.13,2511000,15144,99.4,198486.86
2512,13.14,2512002,15154,99.4,186637.03
2513,13.14,2513001,15163,99.4,184920.33
2514,13.15,2514003,15169,99.4,193485.23
2515,13.15,2515002,15174,99.4,189016.14
2516,13.16,2516000,15180,99.4,182353.1
2517,13.16,2517003,15185,99.4,198691.11
2518,13.17,2518001,15191,99.4,189837.43
2519,13.17,2519002,15198,99.4,183340.54
2520,13.18,2520003,15201,99.4,194365.92
2521,13.18,2521001,15207,99.4,195265.91
2522,13.19,2522001,15215,99.4,184089.89
2523,13.19,2523001,15223,99.4,195356.5
2524,13.2,2524000,15228,99.4,198837.83
2525,13.21,2525003,15229,99.4,182900.17
2526,13.21,2526000,15236,99.4,192688.28
2527,13.22,2527001,15239,99.4,198933.82
2528,13.22,2528002,15246,99.4,187701.1
2529,13.23,2529000,15252,99.4,195457.39
2530,13.23,2530002,15258,99.4,196048.54
2531,13.24,2531002,15262,99.4,186008.43
2532,13.24,2532000,15272,99.4,194467.61
2533,13.25,2533000,15280,99.4,192311.05
2534,13.25,2534000,15292,99.4,186322.42
2535,13.26,2535003,15297,99.4,190823.14
2536,13.26,2536002,15302,99.4,197628.04
2537,13.27,2537003,15309,99.4,192618.17
2538,13.27,2538001,15319,99.4,186787.84
2539,13.28,2539002,15330,99.4,196540.51
2540,13.28,2540000,15332,99.4,198131.08
2541,13.29,2541002,15338,99.4,185312.08
2542,13.29,2542002,15342,99.4,197984.61
2543,13.3,2543001,15351,99.4,192339.21
2544,13.3,2544000,15360,99.4,186725.03
2545,13.31,2545000,15368,99.4,195156.52
2546,13.31,2546001,15371,99.4,198736.07
2547,13.32,2547002,15386,99.4,179714.85
2548,13.33,2548002,15390,99.4,193348.27
2549,13.33,2549001,15391,99.4,199719.24
2550,13.34,2550003,15393,99.4,188630.73
2551,13.34,2551001,15403,99.4,191259.96
2552,13.35,2552003,15405,99.4,196580.41
2553,13.35,2553000,15416,99.4,187976.31
2554,13.36,2554002,15422,99.4,182274.04
2555,13.36,2555002,15430,99.4,191250.01
2556,13.37,2556000,15436,99.4,192146.68
2557,13.37,2557003,15441,99.4,179781.49
2558,13.38,2558000,15444,99.4,196094.78
2559,13.38,2559003,15449,99.4,196134.41
2560,13.39,2560001,15455,99.4,184101.48
2561,13.39,2561001,15463,99.4,193268.09
2562,13.4,2562000,15464,99.4,192710.74
2563,13.4,2563001,15467,99.4,182361.04
2564,13.41,2564001,15471,99.4,198885.86
2565,13.41,2565001,15479,99.4,197937.9
2566,13.42,2566003,15485,99.4,185352.94
2567,13.42,2567000,15492,99.4,191103.24
2568,13.43,2568002,15498,99.4,198934.61
2569,13.44,2569000,15508,99.4,185776.47
2570,13.44,2570002,15514,99.4,188309.55
2571,13.45,2571000,15520,99.4,196651.1
2572,13.45,2572003,15525,99.4,191161.31
2573,13.46,2573001,15531,99.4,186571.38
2574,13.46,2574000,15536,99.4,189203.91
2575,13.47,2575002,15542,99.4,186182.28
2576,13.47,2576003,15549,99.4,183260.51
2577,13.48,2577000,15552,99.4,195489.74
2578,13.48,2578001,15555,99.4,195052.19
2579,13.49,2579003,15561,99.4,183692.15
2580,13.49,2580003,15569,99.4,188703.11
2581,13.5,2581000,15576,99.4,195225.07
2582,13.5,2582002,15582,99.4,184466.16
2583,13.51,2583003,15585,99.4,192759.67
2584,13.51,2584001,15591,99.4,196181.07
2585,13.52,2585003,15601,99.4,183347.55
2586,13.53,2586003,15605,99.4,174646.24
2587,13.53,2587003,15609,99.4,190071.33
2588,13.54,2588002,15614,99.4,190260.62
2589,13.54,2589002,15614,99.4,183751.16
2590,13.55,2590002,15618,99.4,186256.23
2591,13.55,2591001,15631,99.4,184757.25
2592,13.56,2592001,15635,99.4,174551.75
2593,13.56,2593002,15638,99.4,195697.69
2594,13.57,2594002,15646,99.4,175965.09
2595,13.57,2595003,15653,99.4,181635.23
2596,13.58,2596000,15660,99.4,194997.49
2597,13.58,2597002,15674,99.4,193511.95
2598,13.59,2598003,15677,99.4,170289.93
2599,13.6,2599003,15677,99.4,194938.84
2600,13.6,2600000,15688,99.4,191734.12
2601,13.61,2601003,15693,99.4,170367.59
2602,13.61,2602003,15705,99.4,191906.3
2603,13.62,2603002,15710,99.4,194698.65
2604,13.62,2604002,15714,99.4,180859.13
2605,13.63,2605002,15726,99.4,192983.53
2606,13.63,2606002,15734,99.4,193535.62
2607,13.64,2607000,15736,99.4,183996.28
2608,13.64,2608000,15744,99.4,191345.99
2609,13.65,2609002,15750,99.4,194074.93
2610,13.65,2610003,15761,99.4,186442.48
2611,13.66,2611001,15767,99.4,183150.97
2612,13.66,2612000,15772,99.4,197079.62
2613,13.67,2613003,15777,99.4,185260.12
2614,13.68,2614000,15784,99.4,186567.37
2615,13.68,2615002,15790,99.4,192580.88
2616,13.69,2616001,15795,99.4,188455.06
2617,13.69,2617001,15799,99.4,182646.93
2618,13.7,2618000,15804,99.4,198207.65
2619,13.7,2619001,15811,99.4,187215.66
2620,13.71,2620001,15823,99.4,182281.79
2621,13.71,2621001,15827,99.4,194748.76
2622,13.72,2622000,15832,99.4,192145.17
2623,13.72,2623001,15839,99.4,181141.53
2624,13.73,2624002,15846,99.4,193132.08
2625,13.73,2625001,15855,99.4,195270.28
